id,company_name,industry,current_asset,fixed_asset,current_liability,fixed_liability,net_asset,total_asset,total_liability,edinet_code,security_code,fiscal_period_end_date
1,ホクト,水産・農林業,22470000000,81136000000,25265000000,26309000000,52032000000,103606000000,103606000000,E00008,13790,2019/03/31
2,三井金属鉱業,非鉄金属,249336000000,273978000000,180969000000,162672000000,179673000000,523314000000,523314000000,E00024,57060,2019/03/31
3,古河機械金属,非鉄金属,87441000000,127926000000,60376000000,74544000000,80447000000,215367000000,215367000000,E00032,57150,2019/03/31
4,大和ハウス工業,建設業,1921043000000,2412993000000,1401849000000,1288470000000,1643717000000,4334036000000,4334036000000,E00048,19250,2019/03/31
5,熊谷組,建設業,287949000000,65686000000,191141000000,27692000000,134802000000,353635000000,353635000000,E00056,18610,2019/03/31
6,松井建設,建設業,45556865000,25217724000,27856761000,4591559000,38326269000,70774589000,70774589000,E00064,18100,2019/03/31
7,東亜建設工業,建設業,152459000000,50055000000,112302000000,21366000000,68846000000,202514000000,202514000000,E00080,18850,2019/03/31
8,東鉄工業,建設業,111570602000,23720801000,49324927000,2247299000,83719177000,135291403000,135291403000,E00112,18350,2019/03/31
9,淺沼組,建設業,84924000000,17075000000,51147000000,13386000000,37466000000,101999000000,101999000000,E00120,18520,2019/03/31
10,日比谷総合設備,建設業,49227000000,33169000000,20163000000,2206000000,60027000000,82396000000,82396000000,E00168,19820,2019/03/31
11,世紀東急工業,建設業,48236000000,22670000000,34921000000,4441000000,31544000000,70906000000,70906000000,E00176,18980,2019/03/31
12,東芝プラントシステム,建設業,252287000000,22003000000,100721000000,16715000000,156854000000,274290000000,274290000000,E00200,19830,2019/03/31
13,丹青社,サービス業,36103955000,8165075000,16072269000,1273981000,26922780000,44269030000,44269030000,E00208,97430,2019/01/31
14,テノックス,建設業,14026845000,2739247000,4600323000,528923000,11636846000,16766092000,16766092000,E00232,19050,2019/03/31
15,土屋ホールディングス,建設業,10145155000,11010141000,7038094000,1724440000,12392762000,21155296000,21155296000,E00240,18400,2019/10/31
16,サイタホールディングス,建設業,4391926000,2820540000,3676620000,649484000,2886362000,7212466000,7212466000,E00248,19990,2019/06/30
17,三井住建道路,建設業,20474000000,6157000000,13446000000,2295000000,10890000000,26631000000,26631000000,E00272,17760,2019/03/31
18,クレアホールディングス,建設業,2165014000,427813000,811665000,1178790000,602372000,2592827000,2592827000,E00288,17570,2019/03/31
19,オーテック,建設業,18929397000,5893152000,9603990000,826539000,14392020000,24822549000,24822549000,E00304,17360,2019/03/31
20,ビーアールホールディングス,建設業,17703157000,5314821000,14608814000,2147249000,6261915000,23017978000,23017978000,E00312,17260,2019/03/31
21,第一カッター興業,建設業,8913984000,4391013000,1807124000,541555000,10956318000,13304997000,13304997000,E00320,17160,2019/06/30
22,秋川牧園,水産・農林業,2064522000,3028465000,1921301000,1475204000,1696482000,5092987000,5092987000,E00344,13800,2019/03/31
23,フジ日本精糖,食料品,10576885000,11585948000,4267380000,1685773000,16209680000,22162833000,22162833000,E00360,21140,2019/03/31
24,名糖産業,食料品,11417000000,60689000000,6047000000,22096000000,43963000000,72106000000,72106000000,E00376,22070,2019/03/31
25,養命酒製造,食料品,,,,,,0,0,E00400,25400,2019/03/31
26,ダイドーグループホールディングス,食料品,90538000000,81690000000,42220000000,36067000000,93941000000,172228000000,172228000000,E00424,25900,2019/01/20
27,群栄化学工業,化学,20044000000,31004000000,6528000000,2774000000,41746000000,51048000000,51048000000,E00448,42290,2019/03/31
28,ユアサ・フナショク,卸売業,27899000000,26412000000,21671000000,1886000000,30754000000,54311000000,54311000000,E00456,80060,2019/03/31
29,キユーピー,食料品,174790000000,269519000000,99006000000,68550000000,276753000000,444309000000,444309000000,E00464,28090,2019/11/30
30,太陽化学,食料品,25724663000,23088417000,9344687000,1170966000,38297427000,48813080000,48813080000,E00472,29020,2019/03/31
31,あじかん,食料品,11945824000,12947357000,10475525000,2001319000,12416337000,24893181000,24893181000,E00480,29070,2019/03/31
32,ジェーシー・コムサ,食料品,,,,,,0,0,E00488,28760,2019/03/31
